chr	start	end	TargetGene	CellType	enformer_norm_score
chr1	26636453	26637096	WASF2	K562	
chr1	27026948	27028368	WASF2	K562	
chr1	27523007	27523999	WASF2	K562	2429.3490877592576
chr1	27869198	27869698	WASF2	K562	
chr1	28112667	28113483	WASF2	K562	
chr1	28249311	28250231	WASF2	K562	
chr1	28345727	28346629	WASF2	K562	
chr1	28352119	28352734	WASF2	K562	
chr1	26619808	26621780	PIGV	K562	0.0
chr1	27026948	27028368	PPP1R8	K562	
chr1	27523007	27523999	PPP1R8	K562	
chr1	27869198	27869698	PPP1R8	K562	8475.85216615539
chr1	27026948	27028368	TMEM222	K562	
chr1	27523007	27523999	ATPIF1	K562	
chr1	27867738	27868238	ATPIF1	K562	
chr1	27869198	27869698	ATPIF1	K562	
chr1	28112667	28113483	ATPIF1	K562	0.0
chr1	28249311	28250231	ATPIF1	K562	5459.5637645534125
chr1	28345727	28346629	ATPIF1	K562	0.0
chr1	28351509	28352009	ATPIF1	K562	0.0
chr1	28352119	28352734	ATPIF1	K562	0.0
chr1	28883765	28884265	ATPIF1	K562	
chr1	28884388	28885427	ATPIF1	K562	
chr1	27608544	27609044	DNAJC8	K562	
chr1	27867738	27868238	DNAJC8	K562	
chr1	28249311	28250231	DNAJC8	K562	3461.92849142132
chr1	28345727	28346629	DNAJC8	K562	0.0
chr1	28351509	28352009	DNAJC8	K562	0.0
chr1	28352119	28352734	DNAJC8	K562	0.0
chr1	28883765	28884265	DNAJC8	K562	
chr1	28884388	28885427	DNAJC8	K562	
chr1	27869198	27869698	RCC1	K562	
chr1	28112667	28113483	RCC1	K562	
chr1	28352119	28352734	RCC1	K562	0.0
chr1	28883765	28884265	RCC1	K562	
chr1	28884388	28885427	RCC1	K562	
chr1	28105018	28105518	YTHDF2	K562	
chr1	28249311	28250231	YTHDF2	K562	
chr1	28351509	28352009	YTHDF2	K562	
chr1	28352119	28352734	YTHDF2	K562	
chr1	28883765	28884265	YTHDF2	K562	0.0
chr1	28884388	28885427	YTHDF2	K562	0.0
chr1	28249311	28250231	EPB41	K562	
chr1	28351509	28352009	EPB41	K562	
chr1	28352119	28352734	EPB41	K562	
chr1	28883765	28884265	EPB41	K562	20448.64693978094
chr1	28884388	28885427	EPB41	K562	31569.495252795637
chr1	28249311	28250231	RPA2	K562	
chr1	28883765	28884265	RPA2	K562	
chr1	28884388	28885427	RPA2	K562	
chr1	28249311	28250231	SRSF4	K562	
chr1	28351509	28352009	SRSF4	K562	
chr1	28352119	28352734	SRSF4	K562	
chr1	28883765	28884265	SRSF4	K562	
chr1	28884388	28885427	SRSF4	K562	
chr1	28249311	28250231	TAF12	K562	
chr1	28351509	28352009	TAF12	K562	
chr1	28352119	28352734	TAF12	K562	
chr1	28883765	28884265	TAF12	K562	
chr1	28884388	28885427	TAF12	K562	
chr1	28883765	28884265	MECR	K562	
chr1	28884388	28885427	TRNAU1AP	K562	
chr1	30768857	30769473	SNRNP40	K562	
chr1	31072347	31073139	SNRNP40	K562	
chr1	31100446	31101535	SNRNP40	K562	0.0
chr1	31159762	31160262	SNRNP40	K562	0.0
chr1	31394571	31395186	SNRNP40	K562	714.7919643018254
chr1	31826818	31827761	SNRNP40	K562	
chr1	31957624	31958294	SNRNP40	K562	
chr1	30768857	30769473	ZCCHC17	K562	
chr1	30777391	30778865	ZCCHC17	K562	
chr1	30779405	30780013	ZCCHC17	K562	
chr1	31394571	31395186	ZCCHC17	K562	3033.2764515135336
chr1	31826818	31827761	ZCCHC17	K562	
chr1	31957624	31958294	ZCCHC17	K562	
chr1	31100446	31101535	KHDRBS1	K562	
chr1	31154524	31155711	KHDRBS1	K562	
chr1	31159762	31160262	KHDRBS1	K562	
chr1	31394571	31395186	KHDRBS1	K562	
chr1	31826818	31827761	KHDRBS1	K562	0.0
chr1	31954553	31955764	KHDRBS1	K562	5389.1044423500125
chr1	31957624	31958294	KHDRBS1	K562	1174.1220626208706
chr1	32448231	32449577	KHDRBS1	K562	
chr1	31100446	31101535	PTP4A2	K562	
chr1	31154524	31155711	PTP4A2	K562	
chr1	31159762	31160262	PTP4A2	K562	
chr1	31170602	31171274	PTP4A2	K562	
chr1	31172173	31172673	PTP4A2	K562	
chr1	31394571	31395186	PTP4A2	K562	
chr1	31826818	31827761	PTP4A2	K562	0.0
chr1	31954553	31955764	PTP4A2	K562	20202.483620856514
chr1	31955934	31956777	PTP4A2	K562	13364.312323772096
chr1	31957624	31958294	PTP4A2	K562	2467.942335114904
chr1	32413620	32414378	PTP4A2	K562	
chr1	31394571	31395186	EIF3I	K562	
chr1	31954553	31955764	EIF3I	K562	
chr1	31957624	31958294	EIF3I	K562	
chr1	32399795	32400295	EIF3I	K562	0.0
chr1	32448231	32449577	EIF3I	K562	
chr1	31394571	31395186	HDAC1	K562	
chr1	31957624	31958294	HDAC1	K562	
chr1	32399795	32400295	HDAC1	K562	0.0
chr1	31826818	31827761	BSDC1	K562	
chr1	31826818	31827761	MARCKSL1	K562	
chr1	31954553	31955764	MARCKSL1	K562	
chr1	31957624	31958294	MARCKSL1	K562	
chr1	31826818	31827761	RBBP4	K562	
chr1	31957624	31958294	RBBP4	K562	
chr1	32448231	32449577	RBBP4	K562	
chr1	33462417	33462917	RBBP4	K562	
chr1	31826818	31827761	YARS	K562	
chr1	33462417	33462917	YARS	K562	
chr1	31954553	31955764	ZBTB8OS	K562	
chr1	32448231	32449577	AK2	K562	
chr1	33462417	33462917	AK2	K562	
chr1	34378837	34379337	SFPQ	K562	
chr1	34662944	34663444	SFPQ	K562	
chr1	34662944	34663444	SMIM12	K562	0.0
chr1	35673871	35674539	MRPS15	K562	
chr1	36411834	36412334	MRPS15	K562	2402.4091614242457
chr1	36492528	36493028	MRPS15	K562	5188.186587731602
chr1	35673871	35674539	PSMB2	K562	4858.113163521204
chr1	36492528	36493028	PSMB2	K562	
chr1	36411834	36412334	CLSPN	K562	
chr1	36411834	36412334	THRAP3	K562	0.0
chr1	36411834	36412334	TRAPPC3	K562	
chr1	36492528	36493028	TRAPPC3	K562	
chr1	36492528	36493028	LSM10	K562	1067.8462057117742
chr1	38308702	38309202	AKIRIN1	K562	
chr1	38745382	38746585	AKIRIN1	K562	
chr1	38773413	38773913	AKIRIN1	K562	
chr1	39892582	39893618	AKIRIN1	K562	
chr1	38418409	38418909	GNL2	K562	
chr1	38418409	38418909	MEAF6	K562	
chr1	38508251	38508751	MEAF6	K562	
chr1	38508251	38508751	NDUFS5	K562	
chr1	38523473	38524414	NDUFS5	K562	
chr1	38525695	38526510	NDUFS5	K562	
chr1	38527597	38528097	NDUFS5	K562	
chr1	38745382	38746585	NDUFS5	K562	
chr1	38773413	38773913	NDUFS5	K562	
chr1	38783577	38784890	NDUFS5	K562	
chr1	38785583	38786509	NDUFS5	K562	
chr1	39605902	39606605	NDUFS5	K562	
chr1	39892582	39893618	NDUFS5	K562	
chr1	39952543	39953043	NDUFS5	K562	
chr1	38523473	38524414	C1orf122	K562	
chr1	38525695	38526510	C1orf122	K562	
chr1	38745382	38746585	C1orf122	K562	
chr1	38773413	38773913	C1orf122	K562	
chr1	38525695	38526510	FHL3	K562	
chr1	38745382	38746585	FHL3	K562	
chr1	38525695	38526510	UTP11	K562	
chr1	38533857	38534357	UTP11	K562	
chr1	38745382	38746585	UTP11	K562	
chr1	38773413	38773913	UTP11	K562	
chr1	38525695	38526510	YRDC	K562	
chr1	38745382	38746585	YRDC	K562	
chr1	38745382	38746585	PABPC4	K562	
chr1	38783577	38784890	PABPC4	K562	
chr1	38785583	38786509	PABPC4	K562	
chr1	39892582	39893618	PABPC4	K562	
chr1	38745382	38746585	PPIE	K562	
chr1	38773413	38773913	PPIE	K562	
chr1	38777548	38778445	PPIE	K562	
chr1	38783577	38784890	PPIE	K562	
chr1	39892582	39893618	PPIE	K562	
chr1	38745382	38746585	SF3A3	K562	
chr1	39605902	39606605	CAP1	K562	
chr1	39892582	39893618	CAP1	K562	0.0
chr1	40036551	40037051	CAP1	K562	10639.094540294782
chr1	39892582	39893618	PPT1	K562	
chr1	40036551	40037051	NFYC	K562	
chr1	40974649	40975371	SMAP2	K562	
chr1	43005581	43006323	ATP6V0B	K562	
chr1	43044748	43045248	ATP6V0B	K562	
chr1	43120356	43120856	ATP6V0B	K562	
chr1	43005581	43006323	DPH2	K562	
chr1	43005581	43006323	EBNA1BP2	K562	
chr1	43044748	43045248	EBNA1BP2	K562	
chr1	43330148	43330648	EBNA1BP2	K562	1628.9842208108873
chr1	43044748	43045248	ERMAP	K562	
chr1	43044748	43045248	MED8	K562	
chr1	43044748	43045248	PPIH	K562	
chr1	43044748	43045248	SVBP	K562	
chr1	43330148	43330648	SVBP	K562	
chr1	43044748	43045248	YBX1	K562	
chr1	43120356	43120856	YBX1	K562	
chr1	43330148	43330648	YBX1	K562	
chr1	43522703	43523574	YBX1	K562	
chr1	44729192	44729692	AKR1A1	K562	
chr1	44729192	44729692	EIF2B3	K562	
chr1	45574036	45574769	PRDX1	K562	2457.5611125840674
chr1	45753369	45753869	PRDX1	K562	
chr1	46420081	46420880	PRDX1	K562	
chr1	46421693	46422193	PRDX1	K562	
chr1	46487761	46488261	PRDX1	K562	
chr1	45574036	45574769	RPS8	K562	
chr1	45753369	45753869	RPS8	K562	
chr1	45574036	45574769	UQCRH	K562	
chr1	45753369	45753869	UQCRH	K562	
chr1	46244926	46245636	UQCRH	K562	1385.0139407899615
chr1	46420081	46420880	UQCRH	K562	0.0
chr1	46421693	46422193	UQCRH	K562	0.0
chr1	46535744	46536244	UQCRH	K562	
chr1	47193925	47194762	UQCRH	K562	
chr1	47211816	47212316	UQCRH	K562	
chr1	47212995	47213744	UQCRH	K562	
chr1	47241617	47242117	UQCRH	K562	
chr1	45574036	45574769	UROD	K562	
chr1	45753369	45753869	UROD	K562	
chr1	46244926	46245636	RP1-18D14.7	K562	
chr1	46420081	46420880	NASP	K562	
chr1	46535744	46536244	NASP	K562	
chr1	46420081	46420880	TMEM69	K562	
chr1	46421693	46422193	CMPK1	K562	
chr1	46535744	46536244	CMPK1	K562	
chr1	47211816	47212316	CMPK1	K562	0.0
chr1	47212995	47213744	CMPK1	K562	0.0
chr1	46421693	46422193	GPBP1L1	K562	
chr1	46522169	46522839	PDZK1IP1	K562	
chr1	50976328	50979858	CDKN2C	K562	13649.62947177221
chr1	50976328	50979858	EPS15	K562	
chr1	50976328	50979858	FAF1	K562	15133.233489551196
chr1	50976328	50979858	NRDC	K562	
chr1	51896789	51897289	NRDC	K562	12258.882029981458
chr1	52674680	52675532	NRDC	K562	
chr1	50976328	50979858	OSBPL9	K562	
chr1	51283949	51284926	BTF3L4	K562	
chr1	51896789	51897289	BTF3L4	K562	0.0
chr1	52613563	52614512	BTF3L4	K562	
chr1	52674680	52675532	BTF3L4	K562	
chr1	51896789	51897289	PRPF38A	K562	
chr1	52674680	52675532	PRPF38A	K562	
chr1	52674680	52675532	MAGOH	K562	
chr1	52674680	52675532	SCP2	K562	
chr1	52674680	52675532	ZCCHC11	K562	0.0
chr1	53392162	53392662	MRPL37	K562	
chr1	54463184	54463684	MRPL37	K562	
chr1	54487818	54488736	MRPL37	K562	
chr1	54489182	54489816	MRPL37	K562	
chr1	54463184	54463684	TMEM59	K562	
chr1	54487818	54488736	TMEM59	K562	
chr1	55022000	55022500	TMEM59	K562	
chr1	54464352	54465028	HSPB11	K562	
chr1	54487818	54488736	HSPB11	K562	
chr1	65687450	65688338	LEPROT	K562	
chr1	67431689	67432564	SERBP1	K562	11497.62858436481
chr1	67479062	67479777	SERBP1	K562	6990.350700244883
chr1	67538903	67540091	SERBP1	K562	0.0
chr1	67570358	67570858	SERBP1	K562	0.0
chr1	67682485	67683200	SERBP1	K562	
chr1	67479062	67479777	GADD45A	K562	
chr1	67682485	67683200	GADD45A	K562	14649.95342486769
chr1	70674818	70676268	PTGER3	K562	
chr1	70674818	70676268	SRSF11	K562	
chr1	75672413	75673255	TYW3	K562	
chr1	84619227	84619727	GNG5	K562	0.0
chr1	85219916	85220707	GNG5	K562	
chr1	85224598	85225505	GNG5	K562	
chr1	85224598	85225505	C1orf52	K562	8550.715982788557
chr1	85224598	85225505	RPF1	K562	
chr1	85224598	85225505	SSX2IP	K562	
chr1	86461472	86462059	SELENOF	K562	
chr1	86774209	86775355	SELENOF	K562	0.0
chr1	87826390	87827059	SELENOF	K562	
chr1	86774209	86775355	SH3GLB1	K562	18672.2498786893
chr1	92990780	92991280	RPL5	K562	0.0
chr1	93042269	93042990	RPL5	K562	
chr1	95084201	95084944	TMEM56	K562	7558.917933886765
chr1	95085335	95085835	TMEM56	K562	15222.950025325195
chr1	95086848	95087635	TMEM56	K562	6983.845354928047
chr1	95115581	95116081	TMEM56	K562	21908.757992403443
chr1	108533276	108534274	FAM102B	K562	21032.575785251003
chr1	108533276	108534274	PRPF38B	K562	0.0
chr1	108533276	108534274	SARS	K562	
chr1	109793476	109794628	SARS	K562	
chr1	109818174	109818956	SARS	K562	
chr1	109823767	109824267	SARS	K562	
chr1	109889127	109889627	SARS	K562	
chr1	109979562	109980062	SARS	K562	
chr1	108533276	108534274	TMEM167B	K562	
chr1	109793476	109794628	AHCYL1	K562	0.0
chr1	109889127	109889627	AHCYL1	K562	395.5473153793263
chr1	109901635	109902135	AHCYL1	K562	612.2637607843484
chr1	109793476	109794628	LAMTOR5	K562	
chr1	109818174	109818956	LAMTOR5	K562	
chr1	109823767	109824267	LAMTOR5	K562	
chr1	109889127	109889627	LAMTOR5	K562	
chr1	109901635	109902135	LAMTOR5	K562	
chr1	109979562	109980062	LAMTOR5	K562	
chr1	110857917	110858958	LAMTOR5	K562	
chr1	110916794	110917570	LAMTOR5	K562	
chr1	111101896	111102396	LAMTOR5	K562	
chr1	109793476	109794628	PSMA5	K562	
chr1	109818174	109818956	PSMA5	K562	
chr1	109889127	109889627	PSMA5	K562	
chr1	109898607	109899247	PSMA5	K562	
chr1	109901635	109902135	PSMA5	K562	
chr1	109793476	109794628	PSRC1	K562	
chr1	109901635	109902135	GNAI3	K562	
chr1	109901635	109902135	SORT1	K562	
chr1	110857917	110858958	DRAM2	K562	
chr1	110916794	110917570	ATP5F1	K562	
chr1	111101896	111102396	ATP5F1	K562	
chr1	110916794	110917570	RAP1A	K562	
chr1	111467757	111468257	LRIF1	K562	
chr1	111467757	111468257	WDR77	K562	8448.193986791319
chr1	112880893	112881393	RHOC	K562	0.0
chr1	112893682	112894341	RHOC	K562	0.0
chr1	113146730	113147230	RHOC	K562	
chr1	112893682	112894341	CAPZA1	K562	
chr1	113141387	113142161	CAPZA1	K562	
chr1	113210234	113210734	CAPZA1	K562	
chr1	114078096	114078596	CSDE1	K562	
chr1	114080465	114080965	CSDE1	K562	
chr1	114379902	114380402	CSDE1	K562	
chr1	114388285	114388785	CSDE1	K562	
chr1	115179399	115179899	CSDE1	K562	
chr1	114080465	114080965	NRAS	K562	
chr1	114379902	114380402	NRAS	K562	
chr1	114388285	114388785	NRAS	K562	
chr1	114080465	114080965	SIKE1	K562	
chr1	114379902	114380402	SIKE1	K562	
chr1	114388285	114388785	SIKE1	K562	
chr1	115179399	115179899	SIKE1	K562	
chr1	114379902	114380402	BCAS2	K562	
chr1	116420323	116420823	MAN1A2	K562	
chr1	117655089	117655589	MAN1A2	K562	
chr1	116503996	116504794	CD58	K562	5867.728657643358
chr1	116686903	116688095	ATP1A1	K562	
chr1	116827191	116827691	ATP1A1	K562	
chr1	117339753	117340393	ATP1A1	K562	
chr1	116686903	116688095	TTF2	K562	
chr1	117655089	117655589	WDR3	K562	
chr1	150186641	150188059	APH1A	K562	1807.9080842878536
chr1	150545481	150546099	APH1A	K562	
chr1	150976787	150977582	APH1A	K562	
chr1	150186641	150188059	ENSA	K562	
chr1	150545481	150546099	ENSA	K562	1093.875840554997
chr1	150976787	150977582	ENSA	K562	
chr1	150545481	150546099	PSMB4	K562	
chr1	150976787	150977582	PSMB4	K562	
chr1	151739522	151740022	PSMB4	K562	
chr1	150545481	150546099	PSMD4	K562	
chr1	150976787	150977582	PSMD4	K562	
chr1	151739522	151740022	PSMD4	K562	
chr1	151945655	151946155	PSMD4	K562	
chr1	152070979	152071479	PSMD4	K562	
chr1	150976787	150977582	ANP32E	K562	
chr1	150976787	150977582	CERS2	K562	43840.33788072264
chr1	150976787	150977582	MRPL9	K562	
chr1	150976787	150977582	THEM4	K562	
chr1	150976787	150977582	VPS72	K562	
chr1	153059287	153059787	JTB	K562	
chr1	153697099	153698198	JTB	K562	
chr1	154354416	154355047	JTB	K562	
chr1	154384582	154385430	JTB	K562	
chr1	154629018	154629665	JTB	K562	
chr1	154886234	154886734	JTB	K562	
chr1	153059287	153059787	RAB13	K562	
chr1	154384582	154385430	RAB13	K562	
chr1	154629018	154629665	RAB13	K562	
chr1	154883907	154884407	RAB13	K562	
chr1	153059287	153059787	RPS27	K562	
chr1	153697099	153698198	RPS27	K562	
chr1	153698286	153698786	RPS27	K562	
chr1	154354416	154355047	RPS27	K562	
chr1	154384582	154385430	RPS27	K562	
chr1	154385511	154386011	RPS27	K562	
chr1	154386489	154387456	RPS27	K562	
chr1	154629018	154629665	RPS27	K562	
chr1	153433051	153433655	C1orf43	K562	
chr1	154354416	154355047	C1orf43	K562	0.0
chr1	154386489	154387456	C1orf43	K562	0.0
chr1	154629018	154629665	C1orf43	K562	
chr1	154883907	154884407	C1orf43	K562	
chr1	154995616	154996116	C1orf43	K562	
chr1	155167590	155168248	C1orf43	K562	
chr1	153433051	153433655	HAX1	K562	
chr1	154384582	154385430	HAX1	K562	0.0
chr1	154385511	154386011	HAX1	K562	0.0
chr1	154386489	154387456	HAX1	K562	0.0
chr1	154629018	154629665	HAX1	K562	
chr1	154883907	154884407	HAX1	K562	
chr1	154995616	154996116	HAX1	K562	
chr1	153433051	153433655	TPM3	K562	
chr1	153698286	153698786	TPM3	K562	
chr1	154354416	154355047	TPM3	K562	0.0
chr1	154384582	154385430	TPM3	K562	0.0
chr1	154385511	154386011	TPM3	K562	0.0
chr1	154386489	154387456	TPM3	K562	0.0
chr1	154629018	154629665	TPM3	K562	
chr1	154883907	154884407	TPM3	K562	
chr1	154995616	154996116	TPM3	K562	
chr1	154354416	154355047	CKS1B	K562	
chr1	154384582	154385430	CKS1B	K562	
chr1	154386489	154387456	CKS1B	K562	
chr1	154629018	154629665	CKS1B	K562	
chr1	154995616	154996116	CKS1B	K562	2970.442206547467
chr1	154354416	154355047	FDPS	K562	
chr1	154386489	154387456	FDPS	K562	
chr1	154629018	154629665	FDPS	K562	
chr1	154883907	154884407	FDPS	K562	
chr1	154354416	154355047	ILF2	K562	
chr1	154629018	154629665	ILF2	K562	
chr1	154354416	154355047	KRTCAP2	K562	
chr1	154386489	154387456	KRTCAP2	K562	
chr1	154629018	154629665	KRTCAP2	K562	
chr1	154883907	154884407	KRTCAP2	K562	
chr1	154995616	154996116	KRTCAP2	K562	0.0
chr1	154384582	154385430	ADAR	K562	
chr1	154384582	154385430	CHTOP	K562	
chr1	154386489	154387456	CHTOP	K562	
chr1	154629018	154629665	CHTOP	K562	
chr1	154384582	154385430	MTX1	K562	
chr1	154629018	154629665	MTX1	K562	
chr1	154629018	154629665	FLAD1	K562	
chr1	154629018	154629665	PMVK	K562	
chr1	154886234	154886734	PMVK	K562	1620.3963968449145
chr1	154995616	154996116	PMVK	K562	605.4939426807858
chr1	155167590	155168248	PMVK	K562	
chr1	154629018	154629665	RUSC1	K562	
chr1	154629018	154629665	SLC50A1	K562	
chr1	154629018	154629665	SNAPIN	K562	
chr1	154886234	154886734	DAP3	K562	
chr1	155167590	155168248	DAP3	K562	
chr1	156398375	156398875	DAP3	K562	
chr1	156502786	156503713	DAP3	K562	
chr1	156602662	156603162	DAP3	K562	
chr1	156663199	156663699	DAP3	K562	
chr1	154995616	154996116	KIAA0907	K562	
chr1	156602662	156603162	KIAA0907	K562	
chr1	156663199	156663699	KIAA0907	K562	
chr1	156694071	156694571	KIAA0907	K562	
chr1	156398375	156398875	CCT3	K562	4981.651910905757
chr1	156460260	156460938	CCT3	K562	717.7071015034686
chr1	156502786	156503713	CCT3	K562	0.0
chr1	156504995	156505706	CCT3	K562	0.0
chr1	156663199	156663699	CCT3	K562	
chr1	156694071	156694571	CCT3	K562	
chr1	156890042	156890542	CCT3	K562	
chr1	157193565	157194065	CCT3	K562	
chr1	157227510	157228256	CCT3	K562	
chr1	157261900	157262828	CCT3	K562	
chr1	157274605	157275257	CCT3	K562	
chr1	157325123	157325623	CCT3	K562	
chr1	156398375	156398875	HDGF	K562	
chr1	156504995	156505706	HDGF	K562	
chr1	156602662	156603162	HDGF	K562	0.0
chr1	156663199	156663699	HDGF	K562	0.0
chr1	156694071	156694571	HDGF	K562	604.1519056380265
chr1	157193565	157194065	HDGF	K562	
chr1	157261900	157262828	HDGF	K562	
chr1	157311663	157312765	HDGF	K562	
chr1	156398375	156398875	LAMTOR2	K562	
chr1	156663199	156663699	LAMTOR2	K562	
chr1	156694071	156694571	LAMTOR2	K562	
chr1	156398375	156398875	NAXE	K562	0.0
chr1	156460260	156460938	NAXE	K562	0.0
chr1	156502786	156503713	NAXE	K562	1510.049299004772
chr1	156504995	156505706	NAXE	K562	2910.768812552428
chr1	156602662	156603162	NAXE	K562	5452.5845380971205
chr1	156663199	156663699	NAXE	K562	1629.8545358013025
chr1	156694071	156694571	NAXE	K562	0.0
chr1	157193565	157194065	NAXE	K562	
chr1	157311663	157312765	NAXE	K562	
chr1	156460260	156460938	SSR2	K562	
chr1	156502786	156503713	SSR2	K562	
chr1	156602662	156603162	SSR2	K562	
chr1	156663199	156663699	SSR2	K562	
chr1	156694071	156694571	SSR2	K562	
chr1	156890042	156890542	SSR2	K562	
chr1	156602662	156603162	LMNA	K562	
chr1	156663199	156663699	LMNA	K562	
chr1	156694071	156694571	LMNA	K562	
chr1	156663199	156663699	GPATCH4	K562	3979.612169201148
chr1	156663199	156663699	MRPL24	K562	1111.5655031692004
chr1	156694071	156694571	MRPL24	K562	1380.2450660392067
chr1	156663199	156663699	PMF1	K562	
chr1	156663199	156663699	PRCC	K562	1434.6338913789991
chr1	156694071	156694571	PRCC	K562	997.3668710234394
chr1	156890042	156890542	ISG20L2	K562	0.0
chr1	157274605	157275257	RP11-85G21.3	K562	26067.130081534222
chr1	158689047	158689547	SPTA1	K562	14811.108903895409
chr1	158691856	158692709	SPTA1	K562	16002.95086752403
chr1	159817537	159818037	TAGLN2	K562	0.0
chr1	159821433	159821933	TAGLN2	K562	0.0
chr1	160362049	160362861	TAGLN2	K562	
chr1	160665428	160666211	TAGLN2	K562	
chr1	160362049	160362861	SDHC	K562	
chr1	160665428	160666211	SDHC	K562	
chr1	161389679	161390494	SDHC	K562	6649.638115114582
chr1	161486950	161487912	SDHC	K562	0.0
chr1	161502961	161503461	SDHC	K562	0.0
chr1	161611322	161613001	SDHC	K562	
chr1	161621278	161621909	SDHC	K562	
chr1	161730168	161730668	SDHC	K562	
chr1	162055899	162056399	SDHC	K562	
chr1	160362049	160362861	UFC1	K562	
chr1	160460641	160461141	UFC1	K562	
chr1	160665428	160666211	UFC1	K562	
chr1	161486950	161487912	UFC1	K562	
chr1	161502961	161503461	UFC1	K562	
chr1	161621278	161621909	UFC1	K562	
chr1	161730168	161730668	UFC1	K562	
chr1	160460641	160461141	PEX19	K562	0.0
chr1	160665428	160666211	DUSP23	K562	
